GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
common-base-minio,org.bremersee.data.minio,MinioRepository,0,10,0,0,0,2,0,2,0,2
common-base-minio,org.bremersee.data.minio,AbstractMinioErrorHandler,0,17,0,0,0,5,0,3,0,3
common-base-minio,org.bremersee.data.minio,MinioRepositoryImpl,54,440,18,21,17,111,17,23,1,19
common-base-minio,org.bremersee.data.minio,MinioClientCallbackWithoutResult,0,5,0,0,0,2,0,1,0,1
common-base-minio,org.bremersee.data.minio,MinioException,35,7,8,0,1,2,7,1,3,1
common-base-minio,org.bremersee.data.minio,DefaultMinioErrorHandler,28,221,12,33,11,58,12,26,1,9
common-base-minio,org.bremersee.data.minio,DefaultMinioObjectId,16,109,11,11,0,12,9,11,0,9
common-base-minio,org.bremersee.data.minio,MinioObjectId,0,10,0,0,0,2,0,2,0,2
common-base-minio,org.bremersee.data.minio,MinioMultipartFileImpl,32,390,21,29,0,73,17,30,0,22
common-base-minio,org.bremersee.data.minio,MinioTemplate,6,38,0,2,2,13,0,6,0,5
common-base-minio,org.bremersee.data.minio,MinioOperations,5,541,4,4,2,108,4,101,0,101
common-base-minio,org.bremersee.data.minio,DeleteMode,0,34,0,0,0,4,0,1,0,1
